Sinusoidal Linear,Cubic,Logarithmic,Linear,Seed
-0.213624211,-0.227000168,-0.237395894,-0.241136035,2002
0.3381819,0.387414936,0.302479103,0.335845544,2003
0.421996157,0.294657955,0.296936789,0.333938292,2004
0.153582303,-0.053289445,0.006067161,0.103633694,2005
-0.065526081,-0.121809223,-0.115310917,-0.061366641,2006
-0.102923511,-0.053426747,-0.051523529,-0.103932713,2007
0.008986485,0.061159378,0.041734489,0.048412904,2008
-0.004895534,0.069921608,0.073347829,-0.003653125,2009
-0.242847764,-0.162890145,-0.167541261,-0.191118459,2010
0.298101062,0.369240841,0.352281557,0.311759645,2011
0.455287803,0.517405486,0.53652939,0.494654015,2012
0.073747623,-0.038763787,0.07723522,0.082024788,2013
-0.07185338,0.054416552,0.044418563,-0.081517623,2014
0.193157686,0.201394892,0.198961264,0.198927663,2015
-0.189265698,-0.158522938,-0.062508686,-0.076578855,2016
0.092294937,0.037912627,0.030269323,0.112663019,2017
-0.059101962,-0.084579479,-0.096957245,-0.056652858,2018
-0.165233585,-0.319190847,-0.269673809,-0.193995315,2019
0.397875342,0.21000123,0.300150007,0.373883142,2020
-0.315059032,-0.537519451,-0.487470037,-0.406680147,2021
-0.142590355,-0.192750814,-0.226225593,-0.177378287,2022
0.454899645,0.50206405,0.511444132,0.450089933,2023
0.187859443,0.184941718,0.152590646,0.115587662,2024
-0.190376298,-0.186457378,-0.166772383,-0.193287725,2025
-0.103008035,-0.12517175,-0.112256006,-0.095486379,2026
-0.008341059,0.092051602,0.106796479,0.09649583,2027
0.06731583,0.070453736,0.057722669,0.080748176,2028
0.360130493,0.464961013,0.268742715,0.400978914,2029
0.277749991,0.130835001,0.142113993,0.209716247,2030
0.027616333,0.182024569,0.136872767,0.071821827,2031
-0.284889256,-0.313867924,-0.288333393,-0.307691103,2032
-0.111452452,-0.06163019,-0.0295435,-0.117035142,2033
-0.019558814,-0.006210356,-0.023464122,-0.019661366,2034
0.058162082,-0.098940347,0.028509472,0.044204583,2035
0.051582604,-0.110757412,-0.039548234,0.028962573,2036
0.073547195,0.266695118,0.12920166,0.183858916,2037
-0.040068343,-0.148131256,-0.146054365,-0.092665179,2038
0.198310123,0.237656249,0.180919272,0.19766122,2039
0.347767466,0.269317621,0.275698542,0.281299672,2040
-0.026577801,-0.219545451,-0.206488067,-0.159688058,2041
