Sinusoidal Linear,Cubic,Logarithmic,Linear,Seed
-0.167598589,-0.25036233,-0.139649485,-0.116905737,2002
0.07296123,0.012934141,-0.005641321,0.067310505,2003
0.571490631,0.403295867,0.400372156,0.432027837,2004
0.141929262,0.018144082,-0.020793504,0.063289934,2005
0.147346705,-0.164928517,-0.158639659,-0.032592531,2006
0.036439917,-0.028766716,0.020043727,0.005656396,2007
-0.072631472,0.033673976,0.014504749,0.065479072,2008
0.107837047,0.195087605,0.162239386,0.160153628,2009
0.154684873,0.257548706,0.241486654,0.183885956,2010
0.205165226,0.251304332,0.244345505,0.195124663,2011
0.079185065,0.292843757,0.266605578,0.244093594,2012
0.089074082,-0.026534726,0.091519261,0.088908334,2013
-0.366799884,-0.177356848,-0.153638788,-0.328703557,2014
-0.086713893,-0.164956966,-0.136523645,-0.090593621,2015
-0.096817242,0.183359325,0.242630271,0.27328003,2016
0.38525804,0.335064211,0.336536647,0.386192582,2017
0.185226878,0.098095156,0.065648074,0.134066388,2018
-0.326140488,-0.352966639,-0.364847029,-0.307135551,2019
0.506178251,0.235611127,0.431923473,0.536952947,2020
-0.487445468,-0.80055576,-0.719794825,-0.591728589,2021
-0.309625409,-0.32721965,-0.340422938,-0.305743156,2022
0.633002009,0.5849047,0.543796657,0.632800679,2023
0.476368048,0.471853058,0.312293098,0.248572375,2024
-0.057852451,-0.018748274,-0.034754175,-0.092327321,2025
-0.452577657,-0.348453334,-0.35150549,-0.354085346,2026
-0.02967821,0.250381621,0.223772507,0.242421292,2027
-0.068643315,-0.003397943,-0.032862849,-0.05174544,2028
0.580992843,-0.128019494,0.440593377,0.605788702,2029
0.197845409,-0.125716942,0.014455086,0.116708722,2030
-0.07908498,0.133419256,0.104731843,-0.044634573,2031
-0.477970609,-0.466765779,-0.450278938,-0.479792978,2032
0.036339594,0.052704863,0.053043371,0.058357347,2033
0.030369301,-0.1797291,-0.103344321,-0.07329454,2034
-0.132026805,-0.149948051,-0.140098674,-0.09621696,2035
-0.050087385,-0.133040805,-0.093111188,-0.051769313,2036
0.007642692,0.428600187,0.183588777,0.215740433,2037
-0.080878305,-0.183256639,-0.13957543,-0.116473204,2038
0.19952096,0.235736276,0.174579245,0.208573766,2039
0.492171545,0.173671181,0.323792583,0.437541228,2040
-0.136321773,-0.314313975,-0.321248005,-0.258352353,2041
0.189005787,0.327380157,0.250789934,0.240115476,2042
0.431912178,0.307477691,0.335744422,0.337621309,2043
0.051429258,0.029474722,0.04449726,0.037203379,2044
-0.235899329,-0.349844105,-0.360841432,-0.280975643,2045
-0.420915087,-0.386676226,-0.413163415,-0.414632583,2046
0.229493131,-0.16247517,0.062916059,0.107549715,2047
-0.417480065,-0.460739048,-0.429710862,-0.450268807,2048
-0.402903572,-0.474275732,-0.484865539,-0.501718695,2049
-0.263711495,-0.309088835,-0.157834664,-0.287008321,2050
0.310483176,0.220196856,0.235823625,0.221709707,2051
0.334207738,0.077509828,0.397749515,0.378699436,2052
-0.043071863,-0.045318144,-0.07672136,-0.065184204,2053
0.056749195,0.01527156,0.059031005,0.073892241,2054
0.310776088,0.377011475,0.257708245,0.300653469,2055
-0.066704004,-0.140476593,-0.122494472,-0.074803184,2056
0.095468581,0.196433132,0.208566014,0.212953256,2057
-0.218718584,-0.73533429,-0.067609174,0.055924715,2058
0.583447989,0.510968791,0.50188632,0.511132262,2059
0.1955367,0.143758737,0.158378321,0.141809118,2060
-0.120107789,-0.120735853,-0.186301498,-0.125253435,2061
0.081024649,0.046482381,0.099705062,0.079111769,2062
0.071134399,0.004687054,0.115462517,0.074250973,2063
-0.398028718,-0.499236187,-0.486836739,-0.432895724,2064
-0.39955451,-0.490213345,-0.270397495,-0.381650056,2065
0.116470604,0.103496002,0.221943671,0.105485683,2066
0.349593526,0.003042292,0.29939597,0.361522389,2067
0.063561565,-0.258330318,-0.201310427,-0.112199592,2068
0.277590035,0.290955804,0.184914891,0.146609107,2069
0.273372688,0.173600598,0.207545823,0.236534619,2070
-0.005615461,-0.023564661,-0.037860257,0.004754288,2071
0.143905492,0.032167545,0.35365443,0.442025201,2072
0.420460934,0.439090888,0.431677927,0.41957599,2073
0.322269799,0.035614655,0.0443581,0.092885591,2074
-0.000955903,0.093968389,0.04969258,-0.021993546,2075
0.017018083,-0.235764953,-0.180492493,-0.020278446,2076
0.368466896,0.453222464,0.411380333,0.378922981,2077
-0.473810958,-0.278872006,-0.268668109,-0.375372077,2078
0.052715676,0.129205904,0.110071501,0.126528312,2079
0.268438703,0.386415436,0.284446793,0.270474732,2080
0.302888651,0.317921468,0.314493014,0.314366052,2081
-0.282576629,-0.67277387,-0.290466597,-0.237116077,2082
0.460831386,0.326637537,0.516591584,0.571578237,2083
0.762969038,0.600473781,0.723613669,0.78050405,2084
-0.029778867,0.038055012,-7.91E-05,-0.026598139,2085
-0.111760082,-0.338865371,-0.250815469,-0.236600588,2086
-0.217906696,-0.266467008,-0.263332218,-0.220714019,2087
-0.645065475,-0.375863149,-0.351837067,-0.373436366,2088
-0.529202302,-0.615173239,-0.632595925,-0.570213838,2089
-0.311263808,-0.31703986,-0.244301151,-0.312830189,2090
-0.000681948,-0.190263751,-0.169180905,-0.172589628,2091
0.187181732,-0.120822489,0.082832192,0.166483521,2092
-0.866462976,-0.724027024,-0.721009562,-0.750525145,2093
0.256367826,0.210465112,0.193451946,0.257342178,2094
-0.433383961,-0.472053339,-0.476227091,-0.560691534,2095
-0.255981501,-0.30719851,-0.273855612,-0.261888867,2096
-0.175495166,0.010477792,-0.014276232,-0.007502805,2097
0.745788563,0.757974275,0.898486309,0.768143065,2098
-0.216911653,-0.072702996,0.007979472,0.015495554,2099
-0.229425859,-0.239381905,-0.26648679,-0.2159615,2100
-0.232734277,-0.348954549,-0.267414627,-0.21316595,2101
0.061064875,0.176662266,0.05929627,0.137292955,2102
