﻿Monthly Mean Discharge (m3/s) (PARAM = 1) and Monthly Mean Water Level (m) (PARAM = 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ID,PARAM,TYPE,Year,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM,Mean
05BB001,1,1,1909,,,,,,,,,,,176,,164,,70.1,,44.7,,23.6,,,,,,
05BB001,1,1,1910,,,,,,,,,87.5,,151,,134,,78.7,,35.6,,34.1,,,,,,
05BB001,1,1,1911,9.82,,9.25,,8.56,,10.4,,35.1,,177,,126,,72.7,,42.6,,19.2,,11.7,,10.8,,44.5
05BB001,1,1,1912,8.23,,7.55,,6.34,,8.34,,42,,97,,101,,99.9,,52.3,,28.8,,16.5,,12.2,,40.1
05BB001,1,1,1913,9.1,,7.93,,7.24,,11.7,,39.5,,159,,101,,85.7,,55.6,,28.6,,17.1,,11.3,,44.6
05BB001,1,1,1914,9.92,,8.93,,8.07,,11.3,,52.3,,139,,138,,73.7,,42.1,,34.5,,16.5,,10.2,,45.6
05BB001,1,1,1915,8.13,,7.84,,7.53,,15.9,,45,,91.6,,124,,101,,44.4,,24.6,,16.2,,12.6,,41.9
05BB001,1,1,1916,10,,9.59,,7.67,,9.95,,27.5,,139,,153,,76.2,,50.5,,24.6,,15.2,,10.9,,44.6
05BB001,1,1,1917,8.65,,7.46,,6.49,,7.1,,49.3,,106,,123,,66.9,,36,,29.2,,14.1,,9.5,,38.8
05BB001,1,1,1918,8.79,,7.09,,6.72,,9.6,,40.6,,161,,97.7,,67.4,,42.5,,26.9,,13.8,,10.4,,41.1
05BB001,1,1,1919,8.49,,7.24,,5.5,,9.59,,58.4,,105,,83.3,,75.1,,38.6,,16.5,,10.9,,9.36,,35.8
05BB001,1,1,1920,8.37,,7.38,,6.28,,7.63,,21.9,,85.4,,183,,81.6,,39.6,,27.1,,14,,10.4,,41.3
05BB001,1,1,1921,9.51,,8.11,,7.88,,8.38,,50.2,,124,,101,,64.4,,26.6,,22.4,,16.8,,11.9,,37.8
05BB001,1,1,1922,9.59,,8.53,,7.62,,8,,49.3,,134,,90.6,,75.1,,46.8,,27.2,,14,,9.28,,40.2
05BB001,1,1,1923,8.79,,8.33,,8.64,,10.5,,42.2,,159,,102,,69,,45.1,,24.1,,12.9,,9.62,,41.8
05BB001,1,1,1924,9.6,,9.99,,8.17,,7.2,,65.6,,88.9,,95.6,,72.1,,42.1,,20.1,,13.1,,9.9,,37
05BB001,1,1,1925,8.98,,8.03,,6.62,,15,,98.5,,143,,106,,73.4,,44.3,,26.8,,15.8,,11.4,,46.7
05BB001,1,1,1926,8.24,,7.85,,7.09,,19.8,,40.8,,73.2,,95.8,,62,,46.5,,23.8,,14,,8.78,,34.2
05BB001,1,1,1927,7.73,,7.21,,7.41,,8.95,,26.4,,161,,139,,89.5,,49.8,,33.8,,17.4,,12.7,,47
05BB001,1,1,1928,9.87,,7.76,,8.18,,10.7,,110,,167,,155,,68.9,,36.5,,18.1,,10.8,,7.66,,51.1
05BB001,1,1,1929,6.36,,5.45,,6.29,,6.45,,30.6,,125,,72.8,,66.6,,38.2,,17.8,,10.3,,7.94,,32.9
05BB001,1,1,1930,6.9,,7.08,,7.11,,15.7,,55,,153,,123,,78.2,,44.7,,19.4,,11.2,,7.91,,44.3
05BB001,1,1,1931,7.16,,6.46,,6.04,,7.64,,52.6,,112,,91.7,,60.2,,42.7,,19.3,,12.4,,9.4,,35.8
05BB001,1,1,1932,7.99,,12,,8.5,,11.5,,60.4,,177,,104,,80.5,,44.9,,20.3,,11.8,,9.08,,45.6
05BB001,1,1,1933,7.8,,7.71,,7.54,,10.9,,43.1,,165,,133,,69.6,,39.6,,22.6,,17,,9.52,,44.6
05BB001,1,1,1934,7.4,,6.57,,7.31,,28.9,,115,,116,,86.5,,60.3,,35.1,,24.6,,15.6,,9.36,,42.9
05BB001,1,1,1935,12.7,,8.62,,7.7,,9.02,,40.1,,142,,136,,78.1,,39.7,,19.1,,10.3,,7.49,,42.7
05BB001,1,1,1936,6.26,,6.09,,6.38,,10.9,,74.1,,102,,72.1,,53.3,,30.2,,16.7,,11,,6.96,,33.1
05BB001,1,1,1937,5.62,,5.42,,5.94,,6.97,,37.9,,90.9,,85.5,,54.2,,37.2,,22.7,,19.5,,10.2,,32
05BB001,1,1,1938,8.94,,7.39,,7.76,,9.19,,53.4,,155,,100,,48.1,,47.5,,23.6,,11.2,,8.63,,40.2
05BB001,1,1,1939,7.67,,6.36,,6.92,,10.1,,65.4,,78.4,,105,,62.8,,36.1,,24.5,,17.5,,10.9,,36.2
05BB001,1,1,1940,8.11,,7.36,,7.36,,10,,73.6,,112,,90.9,,58.8,,47.7,,27,,14.2,,10.3,,39
05BB001,1,1,1941,7.85,,7.05,,7.54,,12.1,,37.2,,90,,74.7,,53.3,,30.3,,21.5,,13.7,,10.8,,30.6
05BB001,1,1,1942,9.56,,7.4,,6.8,,9.26,,47.3,,96.4,,115,,73.3,,39.5,,23.6,,13.2,,11.1,,38
05BB001,1,1,1943,10.7,,9.01,,8.28,,16.7,,30.8,,76.2,,142,,63.3,,29.8,,21.3,,13.1,,9.79,,36.2
05BB001,1,1,1944,8.29,,7.77,,6.56,,8.72,,48.5,,107,,68.9,,68.8,,42.3,,24.7,,14.9,,10.3,,34.8
