Sinusoidal Linear,Cubic,Logarithmic,Linear,SEED
232.1306073,277.4218397,219.3422318,228.7417205,2002
221.3197642,213.209138,212.0845929,217.5112961,2003
253.8950584,241.5454283,240.3567606,241.9908774,2004
231.4194654,235.0576625,241.7328371,233.7798646,2005
270.8601469,219.5325395,217.0863197,219.6269732,2006
235.1251035,246.6543611,231.1005553,240.1722745,2007
312.352252,292.0117631,284.6011817,309.0203378,2008
244.3078324,242.1230168,233.2921307,225.9334186,2009
223.0552672,230.9887199,224.5549705,226.7830949,2010
217.4194472,228.6215284,218.512959,222.2195075,2011
212.439968,226.5721652,223.7464368,224.2170945,2012
217.906811,278.0174212,213.9750708,218.00547,2013
238.7768616,213.9253534,214.2890715,229.0821652,2014
218.7445498,223.1448656,218.0393257,227.1001511,2015
308.9586897,256.4117521,223.4332189,241.405889,2016
232.5941,229.0607756,226.2078207,233.854916,2017
216.8127792,222.5104456,216.5021862,221.1339723,2018
244.0639715,231.9788995,233.2062335,233.6099779,2019
245.8689436,266.9566726,233.0449394,249.0118381,2020
255.4634325,363.4354294,312.7656417,272.2552563,2021
229.9841871,224.7659558,225.0307324,227.5382151,2022
314.5143687,304.3882138,298.724612,318.4890173,2023
281.9556175,297.5175035,224.0555295,225.6087651,2024
227.346706,327.4311756,229.5486769,231.926747,2025
330.1959791,235.1681632,231.1968802,235.3186264,2026
230.8971862,224.4173245,217.3402025,228.2367743,2027
211.4417388,211.5238807,212.1761623,218.1029664,2028
295.3358395,468.2169691,300.3960983,336.0781676,2029
233.7942655,285.7653949,238.415299,233.7244327,2030
215.9517227,220.4764247,216.8583559,219.292067,2031
258.8296289,262.1737833,252.8073615,259.9350505,2032
209.8773214,213.5164615,213.5791345,218.0106453,2033
281.1959373,260.7985713,229.7691517,234.4502869,2034
226.7445327,215.6698682,213.8349081,218.3198774,2035
241.3657082,242.6755743,230.4821892,242.3292775,2036
221.0083513,350.3074973,224.8648759,222.2345214,2037
228.5640397,224.5294939,216.3858364,230.2166397,2038
244.91639,235.1598687,216.4788014,231.3850762,2039
237.6682491,257.871213,229.2239534,239.1968888,2040
229.2742518,232.1296614,233.5613341,240.4800495,2041
218.074966,224.3182676,225.5296863,224.8121789,2042
